query,gold,group,ans_dense,ans_bm25,ans_hybrid,ans_threshold,ans_aurora,trust_score,decision,r1_dense,r1_bm25,r1_hybrid,r1_threshold,r1_aurora,r2_dense,r2_bm25,r2_hybrid,r2_threshold,r2_aurora,rL_dense,rL_bm25,rL_hybrid,rL_threshold,rL_aurora,abstained_threshold,abstained_aurora
What is restless legs syndrome in children?,"Restless legs syndrome ( RLS) is not unusual in children 8 years of age and older. This neurological sleep disorder causes a creeping, crawling sensation in the legs (and sometimes in the arms) that creates an irresistible urge to move.",Gastritis and Child Health Issues,"Restless legs syndrome ( RLS) is not unusual in children 8 years of age and older. This neurological sleep disorder causes a creeping, crawling sensation in the legs (and sometimes in the arms) that creates an irresistible urge to move. RLS affects about 10% of the U.S. population.",Restless legs syndrome causes sleep disruption and daytime sleepiness. People with restless legs syndrome have uncomfortable sensations in their legs (and sometimes arms or other parts of the body) and an irresistible urge to move their legs to relieve the sensations. About 1 in 5 pregnant women will experience symptoms in the last 3 months of their pregnancy.,"Restless legs syndrome is not unusual in children 8 years of age and older. This neurological sleep disorder causes a creeping, crawling sensation in the legs (and sometimes in the arms) that creates an irresistible urge to move. Movement (i.e. kicking, stretching, rubbing, or pacing) makes the discomfort go away, at least temporarily.",Insufficient evidence available to answer reliably.,"Restless legs syndrome ( RLS) is not unusual in children 8 years of age and older. This neurological sleep disorder causes a creeping, crawling sensation in the legs (and sometimes in the arms) that creates an irresistible urge to move. Movement (i.e. kicking, stretching, rubbing, or pacing) makes the discomfort go away, at least temporarily.",0.3276,escalate,0.896551724137931,0.4536082474226804,0.8172043010752689,0.0,0.8297872340425533,0.8941176470588235,0.21052631578947367,0.7912087912087911,0.0,0.8260869565217391,0.896551724137931,0.30927835051546393,0.8172043010752689,0.0,0.8297872340425533,1,0
How should I plan my summer vacation if I have summer depression?,"People are feeling more financially strapped. Before you book your plane tickets or load up your car's roof rack for your annual summer vacation, ask yourself this: Is this what you really want? Instead of taking a whole week off at once, might it be better to take off several long weekends spread out through the summer? Would taking time off but staying at home â a staycation â be more relaxing? Don't get locked into a vacation that won't feel like a vacation.",General Medical Conditions and Treatments,"Don't get locked into a vacation that won't feel like a vacation. Talk to a therapist, like a psychiatrist, psychologist, or social worker. Regular physical activity can help keep depression at bay. If you're on medicine for depression, talk to your doctor about changing your dosage.","Summer depression can turn into a longer-lasting bout of major depression. Talk to a therapist, like a psychiatrist, psychologist, or social worker. Exercise sensibly and eat moderately. If you're on medicine for depression, and you find that summer makes your depression worse, talk to your doctor about changing your dosage.","Many studies have found that regular physical activity can help keep depression at bay. Talk to a therapist, like a psychiatrist, psychologist, or social worker. If an annual membership to a gym is too expensive, consider joining one for a couple of months just to get you through the summer.",Insufficient evidence available to answer reliably.,"Vacations, summer barbecues, the short nights can all encourage you to stay up later than usual. Not getting enough sleep is a common trigger for depression. Start earlier in the morning or later in the evening, when it's not so hot. If an annual membership to a gym is too expensive, consider joining one for a couple of months.",0.3251,escalate,0.3432835820895522,0.24817518248175183,0.26666666666666666,0.0,0.2482758620689655,0.19696969696969696,0.029629629629629627,0.045112781954887216,0.0,0.0,0.20895522388059704,0.08759124087591241,0.11851851851851851,0.0,0.1103448275862069,1,0
What are the available medicines to treat bowel incontinence?,"Medicines can be prescribed to alleviate bowel incontinence such as loperamide to relieve diarrhea and laxatives to ease constipation. However, they are not always suitable for everyone, and it is recommended that they be taken only under the advice of a doctor or continence specialist. References: - https://www.nhs.uk/conditions/bowel-incontinence/treatment/",Lifestyle Advice,"Medicines can be prescribed to alleviate bowel incontinence. These include loperamide to relieve diarrhea and laxatives to ease constipation. They are not always suitable for everyone, and it is recommended that they be taken only under the advice of a doctor or continence specialist.","Incontinence products such as pads or plugs, changes to diet, medicines to reduce constipation or diarrhea, pelvic floor exercises, and surgery are common treatment options. The best treatment plan will depend on what is causing your symptoms. Colostomy is only considered when bowel incontinence persists despite all other treatments.","Medicines can be prescribed to alleviate bowel incontinence such as loperamide to relieve diarrhea and laxatives to ease constipation. It is recommended that they be taken only under the advice of a doctor or continence specialist. Incontinence products such as pads or plugs, changes to diet, medicines to reduce constipation or diarrhea, pelvic floor exercises, and surgery are common treatment options.","Medicines can be prescribed to alleviate bowel incontinence such as loperamide to relieve diarrhea and laxatives to ease constipation. It is recommended that they be taken only under the advice of a doctor or continence specialist. Incontinence products such as pads or plugs, changes to diet, medicines to reduce constipation or diarrhea, pelvic floor exercises, and surgery are common treatment options.","Medicines can be prescribed to alleviate bowel incontinence such as loperamide to relieve diarrhea and laxatives to ease constipation. It is recommended that they be taken only under the advice of a doctor or continence specialist. Botox injected into the bladder muscle causes the bladder to relax, increasing its storage capacity.",0.5513,escalate,0.8571428571428572,0.33009708737864074,0.6956521739130433,0.6956521739130433,0.6857142857142857,0.8124999999999999,0.039603960396039604,0.6017699115044247,0.6017699115044247,0.6601941747572816,0.8571428571428572,0.23300970873786409,0.6608695652173914,0.6608695652173914,0.6857142857142857,0,0
Who is at risk for Fecal Incontinence? ?,"Nearly 18 million U.S. adultsabout one in 12have fecal incontinence.1 People of any age can have a bowel control problem, though fecal incontinence is more common in older adults. Fecal incontinence is slightly more common among women. Having any of the following can increase the risk: - diarrhea, which is passing loose, watery stools three or more times a day - urgency, or the sensation of having very little time to get to the toilet for a bowel movement - a disease or injury that damages the nervous system - poor overall health from multiple chronic, or long lasting, illnesses - a difficult childbirth with injuries to the pelvic floorthe muscles, ligaments, and tissues that support the uterus, vagina, bladder, and rectum",5_NIDDK_QA,"Fecal incontinence is slightly more common among women. People are most likely to get the condition in their late teens to early 40s. Having any of the following can increase the risk: - diarrhea, which is passing loose, watery stools three or more times a day - urgency, or the sensation of having very little time to get to the toilet for a bowel movement.",Unilateral pudendal neuropathy is a common abnormality in individuals with fecal incontinence. Fecal immunochemical test ( FIT) is the test of choice over the fecal occult blood test.DBWC is a safe and efficient alternative for simultaneous urinary and fecal diversion.,"Fecal incontinence is the accidental passing of solid or liquid stool or mucus from the rectum. Nearly 18 million U.S. adultsabout one in 12have fecalincontinence. Fecal Incontinence has many causes, including - diarrhea - constipation - muscle damage or weakness - nerve damage.",Insufficient evidence available to answer reliably.,"Fecal incontinence is the accidental passing of solid or liquid stool or mucus from the rectum. Nearly 18 million U.S. adultsabout one in 12have fecalincontinence. Fecal Incontinence has many causes, including - diarrhea - constipation - muscle damage or weakness - nerve damage.",0.3829,escalate,0.5714285714285714,0.22641509433962262,0.339622641509434,0.0,0.339622641509434,0.5111111111111112,0.012738853503184714,0.14012738853503184,0.0,0.14012738853503184,0.5274725274725275,0.1509433962264151,0.1761006289308176,0.0,0.1761006289308176,1,0
What's the safest position to fall asleep in during pregnancy?,"The safest position to fall asleep in is on your side, either left or right. If you wake up on your back, just turn onto your side before going back to sleep. References: - https://www.nhs.uk/conditions/stillbirth/prevention/",Awareness and Support,"The safest position to fall asleep in is on your side, either left or right. The fetal position might also help ward off conditions like Alzheimer's or Parkinson's. Avoid lying flat on your back in later pregnancy or during labor, as it has been linked to a higher risk of stillbirth.","The safest approach is not to drink alcohol at all to keep risks to your baby to a minimum. Drinking too much alcohol can also affect the quality of sperm. It's never safe to fall asleep with a sick baby on the sofa, even if both of you are exhausted.","The safest position to fall asleep in is on your side, either left or right. If you wake up on your back, just turn onto your side before going back to sleep. The safest place for your baby to sleep is on their back in a cot in the same room as you for the first 6 months.","The safest position to fall asleep in is on your side, either left or right. If you wake up on your back, just turn onto your side before going back to sleep. The safest place for your baby to sleep is on their back in a cot in the same room as you for the first 6 months.","The safest position to fall asleep in is on your side, either left or right. If you wake up on your back, just turn onto your side before going back to sleep. The safest place for your baby to sleep is on their back in a cot in the same room as you for the first 6 months.",0.6244,escalate,0.45161290322580644,0.24175824175824176,0.6530612244897959,0.6530612244897959,0.6530612244897959,0.3516483516483517,0.06741573033707866,0.6458333333333333,0.6458333333333333,0.6458333333333333,0.43010752688172044,0.1758241758241758,0.6530612244897959,0.6530612244897959,0.6530612244897959,0,0
How can isotretinoin help with treating acne?,"It's used for severe or moderate acne that can't be controlled with other treatments. It reduces the amount of oil made by glands in the skin. It also curbs inflammation and reduces clogged hair follicles. Taking it for several months, once or twice a day, can clear most cases of acne. The fact is that depression is more common in people with acne, regardless of the treatment.",Retinoids and General Dermatology,"Isotretinoin is used for severe or moderate acne that can't be controlled with other treatments. It reduces the amount of oil made by glands in the skin. It also curbs inflammation and reduces clogged hair follicles. Taking it for several months, once or twice a day, can clear most cases of acne.","There is no best acne treatment. Some people do fine using one acne product, although many need a combination to control their teen acne. Antibiotics to kill bacteria Birth control pills for women with acne due to hormones Isotretinoin to help you make less oil.","Isotretinoin is used for severe or moderate acne that can't be controlled with other treatments. It reduces the amount of oil made by glands in the skin. It also curbs inflammation and reduces clogged hair follicles. Taking it for several months, once or twice a day, can clear most cases of acne.","Isotretinoin is used for severe or moderate acne that can't be controlled with other treatments. It reduces the amount of oil made by glands in the skin. It also curbs inflammation and reduces clogged hair follicles. Taking it for several months, once or twice a day, can clear most cases of acne.","Isotretinoin reduces oil production, unplugs the follicles, and targets inflammation and acne-causing bacteria. Taking it for several months, once or twice a day, can clear most cases of acne. There is no best acne treatment. Some people do fine using one acne product, although many need a combination.",0.6028,escalate,0.8524590163934427,0.2105263157894737,0.8524590163934427,0.8524590163934427,0.4745762711864407,0.8333333333333333,0.017857142857142856,0.8333333333333333,0.8333333333333333,0.27586206896551724,0.8360655737704918,0.10526315789473685,0.8360655737704918,0.8360655737704918,0.4067796610169491,0,0
Does anemia with erythropoietin deficiency occur early in diabetic nephropathy?,"Anemia associated with EPO deficiency can occur early in DN before the onset of advanced renal failure, but does not normally occur in nondiabetic renal disease of similar severity. The pathogenesis requires elucidation.",Chronic Conditions and Treatment Outcomes,"Anemia associated with EPO deficiency can occur early in DN before the onset of advanced renal failure, but does not normally occur in nondiabetic renal disease of similar severity. Urine AQP5/creatinine may possess diagnostic and prognostic values as a biomarker of diabetic nephropathy.",ZAG might be a potentially useful biomarker for early diagnosis of diabetic nephropathy in patients with T2DM. Serum sialic acid is elevated in IDDM especially in albuminuric patients. These findings suggest a role for the 12-LO pathway in the pathogenesis of diabetes.,"Anemia associated with EPO deficiency can occur early in DN before the onset of advanced renal failure, but does not normally occur in nondiabetic renal disease of similar severity. ZAG might be a potentially useful biomarker for early diagnosis of diabetic nephropathy in patients with T2DM.","Anemia associated with EPO deficiency can occur early in DN before the onset of advanced renal failure, but does not normally occur in nondiabetic renal disease of similar severity. ZAG might be a potentially useful biomarker for early diagnosis of diabetic nephropathy in patients with T2DM.",Insufficient evidence available to answer reliably.,0.065,insufficient,0.7532467532467532,0.23684210526315788,0.7341772151898734,0.7341772151898734,0.0,0.7466666666666667,0.027027027027027025,0.7272727272727274,0.7272727272727274,0.0,0.7532467532467532,0.15789473684210528,0.7341772151898734,0.7341772151898734,0.0,0,1
Explain the procedure for administering subcutaneous insulin injections.,"To administer a subcutaneous insulin injection, follow these steps: 1. Gather necessary supplies: insulin, syringe, alcohol swabs, and a sharps container. 2. Wash hands with soap and water. 3. Check the insulin vial to ensure the correct type and dosage are present. 4. Gently roll the insulin vial between your hands to mix it if it's a cloudy suspension. 5. Clean the vial's rubber stopper with an alcohol swab. 6. Remove the syringe's cap and pull back the plunger to the desired dosage. 7. Push the needle through the vial's rubber stopper and push the plunger to inject air into the vial. 8. Invert the vial and syringe, then pull back the plunger to draw the correct insulin dosage. 9. Remove any air bubbles from the syringe by tapping it gently and pushing the plunger until all air is gone. 10. Choose the injection site, typically the fatty layer just under the skin of the outer thigh, upper arm, or abdomen. Rotate injection sites to avoid tissue damage. 11. Clean the injection site with an alcohol swab and let it air dry. 12. Pinch the cleaned skin and insert the needle at a 45-90 degree angle. 13. Release the pinch and slowly push the plunger to inject insulin. 14. Remove the needle, apply pressure if necessary, and dispose of the syringe in a sharps container.",Diagnostic Tests,"To administer a subcutaneous insulin injection, follow these steps: Gather necessary supplies: insulin, syringe, alcohol swabs, and a sharps container. Identify an appropriate injection site (for example, the abdomen, thigh, or outer upper arm) Clean the site with an alcohol swab and allow it to air dry. Inject the insulin slowly and steadily, hold the needle in place for 10 seconds after injecting, and then gently withdraw the needle.","Continuous subcutaneous insulin infusion (CSII) therapy delivers a continuous basal insulin rate. CSII allows for manual bolus dosing for meals or correcting high blood glucose levels. Advantages include greater flexibility, improved blood glucose control, and potentially fewer hypoglycemic events.","Administering a subcutaneous insulin injection involves the following steps: Gather necessary supplies: insulin pen, insulin cartridge, a new pen needle, alcohol swab, and sharps container. Inspect the insulin vial for any discoloration, cloudiness, or clumping. Choose an injection site, typically the fatty layer just under the skin of the outer thigh, upper arm, or abdomen.","Administering a subcutaneous insulin injection involves the following steps: Gather necessary supplies: insulin pen, insulin cartridge, a new pen needle, alcohol swab, and sharps container. Inspect the insulin vial for any discoloration, cloudiness, or clumping. Choose an injection site, typically the fatty layer just under the skin of the outer thigh, upper arm, or abdomen.","The steps for administering a subcutaneous insulin injection are as follows. Gather supplies: insulin vial, insulin syringe, alcohol swab, and a sharps container. Clean the injection site, typically the fatty layer just under the skin of the outer thigh, upper arm, or abdomen.",0.3252,escalate,0.3812709030100334,0.05204460966542752,0.3157894736842105,0.3157894736842105,0.3003663003663004,0.20202020202020202,0.007490636704119849,0.20494699646643108,0.20494699646643108,0.23616236162361623,0.3010033444816054,0.04460966542750929,0.2736842105263158,0.2736842105263158,0.26373626373626374,0,0
How does weight loss affect irritable bowel syndrome?,"If you find you're losing weight for no reason, it's time to get it checked out.",Gastritis and Child Health Issues,"Studies have shown a link between IBS symptoms and antibiotics, antidepressants, and drugs made with sorbitol. Fatty foods, carbonated drinks, and alcohol can also upset digestion. There's no proof any of these foods cause IBS, but they may trigger symptoms.",The direct and indirect cost of irritable bowel syndrome in the U.S. has been estimated at between at about $1.5 billion each year. Some researchers think the changing hormones in the menstrual cycle may have something to do with it. The condition seems to run in families.,"If you find you're losing weight for no reason, it's time to get it checked out. Health conditions such as a malfunctioning thyroid, colon cancer, or heart failure may cause unintentional weight loss. In such cases, it is best to see a doctor as soon as possible.",Insufficient evidence available to answer reliably.,"If you find you're losing weight for no reason, it's time to get it checked out. Health conditions such as a malfunctioning thyroid, colon cancer, or heart failure may cause unintentional weight loss. In such cases, it is best to see a doctor as soon as possible.",0.3159,escalate,0.06779661016949154,0.08955223880597016,0.5373134328358209,0.0,0.5373134328358209,0.0,0.0,0.5230769230769231,0.0,0.5230769230769231,0.03389830508474577,0.08955223880597016,0.5373134328358209,0.0,0.5373134328358209,1,0
What is the first medication that a GP will prescribe for GAD?,"In most cases, the first medication you'll be offered will be a type of antidepressant called a selective serotonin reuptake inhibitor (SSRI). References: - https://www.nhs.uk/conditions/generalised-anxiety-disorder/treatment/",Lifestyle Advice,"Gerstmann-Straussler-Scheinker disease (GSS) is inherited in an autosomal dominant manner. This means that to be affected, a person only needs a change (mutation) in one copy of the responsible gene in each cell. A person with GSS has a 50% chance with each pregnancy of passing along the altered gene to his or her child.","The first thing a GP will do when suspecting bowel cancer is to ask about symptoms and any family history of bowel cancer. They will also perform a digital rectal examination and examine the abdomen, followed by a blood test to check for iron deficiency anemia. A GP will prescribe antibiotics. These will help you get better quicker, reduce the chance of a serious illnesses, such as pneumonia.","Generalised anxiety disorder is a long-term condition characterized by excessive and uncontrollable worry about everyday events or activities. Some symptoms include feeling restless and on edge, difficulty concentrating, and irritability. Your GP can prescribe a variety of different types of medication to treat GAD, depending on your symptoms.","Generalised anxiety disorder is a long-term condition characterized by excessive and uncontrollable worry about everyday events or activities. Some symptoms include feeling restless and on edge, difficulty concentrating, and irritability. Your GP can prescribe a variety of different types of medication to treat GAD, depending on your symptoms.","Generalised anxiety disorder is a long-term condition characterized by excessive and uncontrollable worry about everyday events or activities. Symptoms include feeling restless and on edge, difficulty concentrating, and irritability. Your GP can prescribe a variety of different types of medication to treat GAD, depending on your symptoms.",0.413,escalate,0.13333333333333333,0.1386138613861386,0.21951219512195122,0.21951219512195122,0.2222222222222222,0.0,0.0202020202020202,0.075,0.075,0.0759493670886076,0.1111111111111111,0.11881188118811882,0.07317073170731708,0.07317073170731708,0.07407407407407407,0,0
Which specialist can be involved in taking care of a child with Williams syndrome?,"Many different caregivers can be involved in taking care of your child, including a: Cardiologist -- a doctor who treats heart problems Endocrinologist -- a doctor who treats hormone problems Gastroenterologist -- a doctor who treats gastrointestinal problems Ophthalmologist -- a doctor who treats eye problems Psychologist Speech and language therapist Occupational therapist Physical therapist Some of the treatments your child might need: A diet low in calcium and vitamin D to bring down high calcium levels in the blood Medicine to lower blood pressure Special education, including speech and language therapy Physical therapy Surgery to fix a blood vessel or heart problem Your child might need treatments for other symptoms, too.",Gastritis and Child Health Issues,"Williams syndrome can't be cured, but treatments can help with symptoms and learning problems. Children with this syndrome could have problems with their heart, blood vessels, kidneys, and other organs. A diet low in calcium and vitamin D to bring down high calcium levels in the blood. Medicine to lower blood pressure. Special education, including speech and language therapy. Surgery to fix a blood vessel or heart problem.","Williams syndrome can't be cured, but treatments can help with symptoms and learning problems. Williams syndrome is caused by the deletion of genetic material from a specific region of chromosome 7. A group of healthcare professionals called a multidisciplinary team (MDT) is involved in the care of ataxia patients.","Williams syndrome can't be cured, but treatments can help with symptoms and learning problems. A diet low in calcium and vitamin D to bring down high calcium levels in the blood Medicine to lower blood pressure Special education, including speech and language therapy. Surgery to fix a blood vessel or heart problem.","Williams syndrome can't be cured, but treatments can help with symptoms and learning problems. A diet low in calcium and vitamin D to bring down high calcium levels in the blood Medicine to lower blood pressure Special education, including speech and language therapy. Surgery to fix a blood vessel or heart problem.","Williams syndrome can't be cured, but treatments can help with symptoms and learning problems. A diet low in calcium and vitamin D to bring down high calcium levels in the blood Medicine to lower blood pressure Special education, including speech and language therapy. Surgery to fix a blood vessel or heart problem.",0.9027,generate,0.5310734463276836,0.20253164556962025,0.5465838509316769,0.5465838509316769,0.5465838509316769,0.4228571428571428,0.038461538461538464,0.4654088050314465,0.4654088050314465,0.4654088050314465,0.4858757062146893,0.1139240506329114,0.5093167701863354,0.5093167701863354,0.5093167701863354,0,0
What causes a hole in your nasal septum?,"There are many reasons you could get a hole in your septum. These include: Excessive nose picking Cocaine use Nose surgery Overuse of decongestant and steroid nasal sprays Breathing in toxic chemicals Nasal piercing Nasal trauma Cancer Some rare diseases, such as tuberculosis, sarcoidosis, syphilis, and Wegener's granulomatosis, can cause a hole to form in your septum.",Retinoids and General Dermatology,"Excessive nose picking Cocaine use Nose surgery Overuse of decongestant and steroid nasal sprays Breathing in toxic chemicals Nasal piercing Nasal trauma Cancer Some rare diseases, such as tuberculosis, sarcoidosis, syphilis, and Wegener's granulomatosis, can cause a hole to form in your septum.","If you have a hole in your septum, you may not need to do anything about it. Your doctor will give you a list of important things to avoid as you recover. Follow all your doctor's advice to prevent the hole from opening up again. A nasal tear may also result from a type of breast cancer treatment.","Excessive nose picking Cocaine use Nose surgery Overuse of decongestant and steroid nasal sprays Breathing in toxic chemicals Nasal piercing Nasal trauma Cancer Some rare diseases, such as tuberculosis, sarcoidosis, syphilis, and Wegener's granulomatosis, can cause a hole to form in your septum.","Excessive nose picking Cocaine use Nose surgery Overuse of decongestant and steroid nasal sprays Breathing in toxic chemicals Nasal piercing Nasal trauma Cancer Some rare diseases, such as tuberculosis, sarcoidosis, syphilis, and Wegener's granulomatosis, can cause a hole to form in your septum.","Excessive nose picking Cocaine use Nose surgery Overuse of decongestant and steroid nasal sprays Breathing in toxic chemicals Nasal piercing Nasal trauma Cancer Some rare diseases, such as tuberculosis, sarcoidosis, syphilis, and Wegener's granulomatosis, can cause a hole to form in your septum.",0.3581,escalate,0.8627450980392156,0.25641025641025644,0.8627450980392156,0.8627450980392156,0.8627450980392156,0.86,0.06956521739130435,0.86,0.86,0.86,0.8627450980392156,0.17094017094017094,0.8627450980392156,0.8627450980392156,0.8627450980392156,0,0
Who can get whooping cough and how long does it last?,"Children under the age of 18 months with whooping cough should be watched at all times, because the coughing spells can make them stop breathing. It may last 3 to 6 weeks. You can get sick from it even if you've already been vaccinated, but that's not likely.",Retinoids and General Dermatology,"Complications from whooping cough can range from nosebleeds and sore ribs in older children and adults, to dehydration, breathing difficulties, pneumonia, and fits (seizures) in babies under 6 months old. You're contagious from about 6 days after the start of cold-like symptoms to 3 weeks after the coughing starts.","Whooping cough can cause anyone at any age to get sick. Treatment for whooping cough depends on your age and how long you've had the infection. If diagnosed within 3 weeks of the infection, you'll be given antibiotics to help stop it spreading to others, but antibiotics may not reduce symptoms.",Cough turns into coughing spells that end with a whooping sound as the person tries to breathe in air. You're contagious from about 6 days after the start of cold-like symptoms to 3 weeks after the coughing starts. Treatment for whooping cough depends on your age and how long you've had the infection.,Insufficient evidence available to answer reliably.,Insufficient evidence available to answer reliably.,0.1371,insufficient,0.3564356435643565,0.46601941747572817,0.3773584905660378,0.0,0.0,0.0404040404040404,0.05940594059405941,0.07692307692307691,0.0,0.0,0.1584158415841584,0.19417475728155342,0.15094339622641512,0.0,0.0,1,1
Is Kearns-Sayre syndrome inherited ?,"This condition is generally not inherited but arises from mutations in the body's cells that occur after conception. This alteration is called a somatic mutation and is present only in certain cells. Rarely, this condition is inherited in a mitochondrial pattern, which is also known as maternal inheritance. This pattern of inheritance applies to genes contained in mtDNA. Because egg cells, but not sperm cells, contribute mitochondria to the developing embryo, children can only inherit disorders resulting from mtDNA mutations from their mother. These disorders can appear in every generation of a family and can affect both males and females, but fathers do not pass traits associated with changes in mtDNA to their children.",3_GHR_QA,"Kearns-Sayre syndrome is a condition caused by defects in mitochondria. Because egg cells, but not sperm cells, contribute mitochondria to the developing embryo, children can only inherit disorders resulting from mtDNA mutations from their mother. The prognosis for individuals with KSS varies depending on the severity and the number of organs involved.","Kearns-Sayre syndrome is a condition that affects many parts of the body, especially the eyes. People with the condition usually appear before age 20, and the condition is diagnosed by a few characteristic signs and symptoms. Symptoms include muscle weakness in limbs, deafness, kidney problems, or a deterioration of cognitive functions (dementia)",Kearns-Sayre syndrome (KSS) is a rare neuromuscular disorder with onset usually before the age of 20 years. It is the result of abnormalities in the DNA of mitochondria - small rod-like structures found in every cell of the body that produce the energy that drives cellular functions.,Kearns-Sayre syndrome (KSS) is a rare neuromuscular disorder with onset usually before the age of 20 years. It is the result of abnormalities in the DNA of mitochondria - small rod-like structures found in every cell of the body that produce the energy that drives cellular functions.,Insufficient evidence available to answer reliably.,0.1951,insufficient,0.39285714285714285,0.2261904761904762,0.2208588957055215,0.2208588957055215,0.0,0.2891566265060241,0.024096385542168672,0.03726708074534161,0.03726708074534161,0.0,0.35714285714285715,0.10714285714285714,0.1226993865030675,0.1226993865030675,0.0,0,1
Does rapamycin inhibit growth of premalignant and malignant mammary lesions in a mouse model of ductal carcinoma in situ?,"In PyV-mT mouse mammary models, rapamycin inhibits the growth of premalignant lesions and invasive tumors. Although the inhibitory effect of rapamycin was striking, rapamycin treatment did not completely obliterate the lesions.",Cancer Research and Advanced Therapies,"In PyV-mT mouse mammary models, rapamycin inhibits the growth of premalignant lesions and invasive tumors. Although the inhibitory effect of rapamycin was striking, the treatment did not completely obliterate the lesions. The alteration of Foxo1 and insulin-like growth factor-II gene expression might be the crucial factors.",Maspin exhibited a metastasis-suppressive effect. The switch of cellular metabolic phenotype to low glycolysis by the gain of maspin function may play a key role in the process. Adenovirus-mediated gene transfer of human PON1 may be a potential and useful tool to prevent/retard atherosclerosis in humans.,Blocking Hsp90 disrupts rapamycin-induced activation of alternative signaling pathways in HCCs and substantially improves the growth-inhibitory effects of mTOR inhibition in vivo. The use of monoclonal antibodies targeting PlGF could thus offer a potential systemic treatment for patients who suffer from primary liver tumours.,Blocking Hsp90 disrupts rapamycin-induced activation of alternative signaling pathways in HCCs and substantially improves the growth-inhibitory effects of mTOR inhibition in vivo. The use of monoclonal antibodies targeting PlGF could thus offer a potential systemic treatment for patients who suffer from primary liver tumours.,Blocking Hsp90 disrupts rapamycin-induced activation of alternative signaling pathways in HCCs and substantially improves the growth-inhibitory effects of mTOR inhibition in vivo. The use of monoclonal antibodies targeting PlGF could thus offer a potential systemic treatment for patients who suffer from primary liver tumours.,0.2535,escalate,0.7654320987654322,0.19753086419753088,0.30769230769230765,0.30769230769230765,0.30769230769230765,0.7341772151898733,0.0,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.7654320987654322,0.1234567901234568,0.20512820512820512,0.20512820512820512,0.20512820512820512,0,0
How and why does dry mouth affect seniors?,"Advancing age puts many seniors at risk for a number of oral health problems, such as: Darkened teeth . Dry mouth. Caused by reduced saliva flow, which can be a result of cancer treatments that use radiation to the head and neck area, as well as certain diseases, such as SjÃ¶gren's syndrome, and medication side effects.",Retinoids and General Dermatology,"Dry mouth can be a side effect of medical conditions, including SjÃ¶gren's syndrome, HIV/ AIDS, Alzheimer's disease, diabetes, anemia, cystic fibrosis. Smoking or chewing tobacco can affect how much saliva you make and aggravate dry mouth. Breathing with your mouth open a lot can also contribute to the problem.","Dry mouth is the feeling that there is not enough saliva in the mouth. Saliva does more than keep your mouth wet. It protects teeth from decay, helps heal sores in your mouth, and prevents infection. Dry mouth is also the hallmark symptom of the fairly common autoimmune disease Sjgren's syndrome.","Dry mouth is the condition of not having enough saliva, or spit, to keep your mouth wet. Many older adults have dry mouth, but it is not a normal part of aging. Dry mouth can be a side effect of medical conditions, including SjÃ¶gren's syndrome.","Dry mouth is the condition of not having enough saliva, or spit, to keep your mouth wet. Many older adults have dry mouth, but it is not a normal part of aging. Dry mouth can be a side effect of medical conditions, including SjÃ¶gren's syndrome.",Insufficient evidence available to answer reliably.,0.2165,insufficient,0.3669724770642202,0.2018348623853211,0.38461538461538464,0.38461538461538464,0.0,0.14953271028037382,0.037383177570093455,0.13725490196078433,0.13725490196078433,0.0,0.2018348623853211,0.14678899082568805,0.25,0.25,0.0,0,1
"If I work in healthcare or adult social care, can I get a free COVID-19 test without symptoms?","If you work in healthcare or adult social care and do not have symptoms of COVID-19, you can get a free NHS test if you either have been off work with COVID-19 and need a test to return to work, work with people who are at high risk of getting seriously ill from COVID-19 and your employer has told you to get a test, or are at high risk of getting seriously ill from COVID-19 and your employer has told you to get a test. References: - https://www.nhs.uk/conditions/coronavirus-covid-19/testing/get-tested-for-coronavirus/",Awareness and Support,"Free testing for COVID-19 from the NHS has ended for most people in England. You can get free NHS tests if you work in healthcare or adult social care. If you're not eligible for a free NHS test, you can buy rapid lateral flow tests from some pharmacies and retailers online.","If you're not eligible for a free NHS test, you must pay for a COVID-19 test yourself. You can buy rapid lateral flow tests from some pharmacies and retailers, in person or online. If you work for the NHS or with NHS patients for an independent healthcare provider, you can get a free test.","If you have symptoms of COVID-19, you can get a free NHS test. You can get free NHS tests if you work in healthcare or adult social care, are going into the hospital, or have a health condition which means you're eligible for CO VID-19 Awareness and Support.","If you have symptoms of COVID-19, you can get a free NHS test. You can get free NHS tests if you work in healthcare or adult social care, are going into the hospital, or have a health condition which means you're eligible for CO VID-19 Awareness and Support.","If you have symptoms of COVID-19, you can get a free NHS test. You can get free NHS tests if you work in healthcare or adult social care, are going into the hospital, or have a health condition which means you're eligible for CO VID-19 Awareness and Support.",0.4014,escalate,0.4102564102564102,0.389937106918239,0.4675324675324676,0.4675324675324676,0.4675324675324676,0.22077922077922077,0.14012738853503187,0.2763157894736842,0.2763157894736842,0.2763157894736842,0.23076923076923078,0.23899371069182387,0.2857142857142857,0.2857142857142857,0.2857142857142857,0,0
